variant,feature,winner_model,importance_mean_nonneg,importance_rank,ablation_delta_auc_mean,stability_score,winner_model_reliability_score,FRS,FRS_rank,feature_class
CLINICAL,petlowy,RF_SHALLOW,0.0,15.0,,0.76748541219921,0.28204128333268474,0.27743127288568004,25.0,UNRESOLVED
CLINICAL,mpv_przyjecie,RF_SHALLOW,0.0,16.0,,0.75186041219921,0.28204128333268474,0.2620184243920312,26.0,UNRESOLVED
CLINICAL,cukrzyca_dm,RF_SHALLOW,0.0,19.0,,0.70498541219921,0.28204128333268474,0.21577987891108452,27.0,UNRESOLVED
CLINICAL,obwod_bioder,RF_SHALLOW,0.0,19.0,,0.70498541219921,0.28204128333268474,0.21577987891108452,27.0,UNRESOLVED
CLINICAL,ile_lat_pali,RF_SHALLOW,0.0,20.0,0.0,0.68936041219921,0.28204128333268474,0.20036703041743562,28.0,LOW_SIGNAL
CLINICAL,czy_pali,RF_SHALLOW,0.0,21.0,,0.67373541219921,0.28204128333268474,0.18495418192378676,29.0,UNRESOLVED
CLINICAL,pct_przyjecie,RF_SHALLOW,0.0,24.0,,0.62686041219921,0.28204128333268474,0.13871563644284007,30.0,UNRESOLVED
CLINICAL,trijglicerydy_tg,RF_SHALLOW,0.0,25.0,,0.61123541219921,0.28204128333268474,0.12330278794919115,31.0,UNRESOLVED
CLINICAL,kwas_moczowy,RF_SHALLOW,0.0,26.0,,0.59561041219921,0.28204128333268474,0.10788993945554222,32.0,UNRESOLVED
CLINICAL,rbc_przyjecie,RF_SHALLOW,0.0,27.0,,0.57998541219921,0.28204128333268474,0.09247709096189338,33.0,UNRESOLVED
CLINICAL,p_lcr_przyjecie,RF_SHALLOW,0.0,28.0,,0.56436041219921,0.28204128333268474,0.07706424246824446,34.0,UNRESOLVED
CLINICAL,plt_przyjecie,RF_SHALLOW,0.0,29.0,,0.54873541219921,0.28204128333268474,0.061651393974595535,35.0,UNRESOLVED
CLINICAL,klop,RF_SHALLOW,0.0,30.0,,0.53311041219921,0.28204128333268474,0.04623854548094669,36.0,UNRESOLVED
CLINICAL,ht_przyjecie,RF_SHALLOW,0.0,31.0,,0.51748541219921,0.28204128333268474,0.030825696987297767,37.0,UNRESOLVED
CLINICAL,pdw_przyjecie,RF_SHALLOW,0.0,32.0,,0.50186041219921,0.28204128333268474,0.015412848493648842,38.0,UNRESOLVED
CLINICAL,hb_przyjecie,RF_SHALLOW,0.0,33.0,,0.48623541219920996,0.28204128333268474,0.0,39.0,UNRESOLVED
FULL,92_kda_pro_mmp_9,LR_L1,0.1931111111111111,1.0,0.053333333333333455,1.0,0.9465618089220617,1.0,1.0,SPURIOUS_IMPORTANCE
FULL,wyniki_fgf23_pg_ml,LR_L1,0.0004761904761904,5.0,0.34857142857142875,0.6937993212482854,0.9465618089220617,0.7938396756021324,2.0,HIDDEN_SIGNAL
FULL,emmprin,LR_L1,0.0035238095238095,4.0,0.30285714285714294,0.7649016291173348,0.9465618089220617,0.5569786425675081,3.0,LOW_SIGNAL
FULL,72_kda_pro_mmp_2,LR_L1,0.0308412698412698,2.0,0.13619047619047642,0.7324364185514946,0.9465618089220617,0.5009961423131739,4.0,LOW_SIGNAL
FULL,bmi,LR_L1,0.0002857142857142,6.0,0.3300000000000002,0.627966665321025,0.9465618089220617,0.4981195638695283,5.0,HIDDEN_SIGNAL
FULL,arb,LR_L1,0.0,8.0,0.43047619047619057,0.48623541219920996,0.9465618089220617,0.493117706099605,6.0,HIDDEN_SIGNAL
FULL,ile_lat_mizdzyca_konczyn,LR_L1,0.0,8.0,0.3633333333333334,0.48623541219920996,0.9465618089220617,0.44861013034202923,7.0,HIDDEN_SIGNAL
FULL,crp_5_zapalenie,LR_L1,0.0,8.0,0.34523809523809534,0.48623541219920996,0.9465618089220617,0.43661518084707973,8.0,HIDDEN_SIGNAL
FULL,ile_lat_miazdzyca_t_szyjnych,LR_L1,0.0,8.0,0.33857142857142863,0.48623541219920996,0.9465618089220617,0.43219598892788785,9.0,HIDDEN_SIGNAL
FULL,petlowy,LR_L1,0.0,8.0,0.3371428571428573,0.48623541219920996,0.9465618089220617,0.4312490192309182,10.0,HIDDEN_SIGNAL
FULL,crt_d_device,LR_L1,0.0,8.0,0.3366666666666668,0.48623541219920996,0.9465618089220617,0.43093336266526155,11.0,HIDDEN_SIGNAL
FULL,cad,LR_L1,0.0,8.0,0.3361904761904764,0.48623541219920996,0.9465618089220617,0.43061770609960504,12.0,HIDDEN_SIGNAL
FULL,tnfalfa_pg_ml,LR_L1,0.0038095238095238,3.0,,0.8400203674787142,0.9465618089220617,0.42987373790670874,13.0,UNRESOLVED
FULL,kwas_moczowy,LR_L1,0.0,8.0,0.3347619047619049,0.48623541219920996,0.9465618089220617,0.4296707364026353,14.0,HIDDEN_SIGNAL
