variant,n_features,n_unresolved,mean_importance_nonneg,mean_ablation_delta_auc,mean_stability,mean_winner_model_reliability,mean_FRS
BIOMARKERS,10,1,0.04461111111111108,0.40380952380952373,0.7042298224186808,0.774778728984032,0.535319467082402
CLINICAL,43,23,0.000282761166482093,0.017714285714285783,0.7439628360333426,0.28204128333268474,0.3893885433679111
FULL,54,34,0.004300705467372127,0.3066428571428573,0.4956865772892693,0.9465618089220617,0.3257984205510675
