variant,model,auc_mean,auc_sd,mcc_mean,mcc_sd,n_features,auc_mean_true,auc_mean_perm_mean,auc_mean_perm_sd,auc_mean_p_value,mcc_mean_true,mcc_mean_perm_mean,mcc_mean_perm_sd,mcc_mean_p_value,diag_signal_score,diag_effect_score,model_reliability_score
BIOMARKERS,RF_SHALLOW,0.9161904761904764,0.0763836835991915,0.739047619047619,0.1513881347627309,10,0.9,0.524054365079365,0.1127902352388308,0.0196078431372549,0.5681138830084189,0.0182031797703588,0.1707465853667988,0.0196078431372549,1.0,0.5495574579680641,0.774778728984032
CLINICAL,RF_SHALLOW,0.6123809523809524,0.1474499799886031,0.1983259401636501,0.3175741930519489,42,0.55,0.4773821428571429,0.1271415640345109,0.2941176470588235,0.0526320041992372,-0.0108158816193053,0.1487111259705466,0.2941176470588235,0.45098039215686286,0.11310217450850665,0.28204128333268474
FULL,LR_L1,1.0,0.0,0.9690308509457032,0.0692491224907307,53,1.0,0.5030492063492062,0.0965627868936613,0.0196078431372549,0.96,0.0199326267885184,0.1626170331629869,0.0196078431372549,1.0,0.8931236178441233,0.9465618089220617
