variant,n_features,corr_importance_vs_ablation_spearman,corr_importance_vs_FRS_spearman,corr_ablation_vs_FRS_spearman,topk_overlap_importance_ablation,mean_absolute_gap,median_absolute_gap
BIOMARKERS,10,-0.9288784237188525,0.8160123484559988,-0.5333333333333333,1,0.6478578402641777,0.6852231526975667
CLINICAL,43,-0.383384925834044,0.4531695597909996,0.6199895495328115,0,0.384491850431448,0.31250000000000133
FULL,54,-0.3735258104876803,0.5304526864132117,0.25864661654135335,1,0.712559021498895,0.7449494949494948
