variant,feature,winner_model,unresolved_reason,unresolved_detail,importance_mean_raw,ablation_delta_auc_mean_raw,cross_variant_consistency,importance_score,ablation_score,stability_score,FRS
FULL,ace_i,LR_L1,multiple_missing_components,ablation_delta_auc_mean_raw;ablation_delta_auc_mean;ablation_score,0.0,,0.97247082439842,0.0,,0.4862354121992099,0.243117706099605
FULL,cholesterol_calkowity_tc,LR_L1,multiple_missing_components,ablation_delta_auc_mean_raw;ablation_delta_auc_mean;ablation_score,0.0,,0.9225958463988636,0.0,,0.4612979231994318,0.2306489615997159
FULL,czy_pali,LR_L1,multiple_missing_components,ablation_delta_auc_mean_raw;ablation_delta_auc_mean;ablation_score,0.0,,0.97247082439842,0.0,,0.4862354121992099,0.243117706099605
FULL,gfr_min,LR_L1,multiple_missing_components,ablation_delta_auc_mean_raw;ablation_delta_auc_mean;ablation_score,0.0,,0.97247082439842,0.0,,0.4862354121992099,0.243117706099605
FULL,hb_przyjecie,LR_L1,multiple_missing_components,ablation_delta_auc_mean_raw;ablation_delta_auc_mean;ablation_score,0.0,,0.97247082439842,0.0,,0.4862354121992099,0.243117706099605
FULL,hba1c,LR_L1,multiple_missing_components,ablation_delta_auc_mean_raw;ablation_delta_auc_mean;ablation_score,0.0,,0.97247082439842,0.0,,0.4862354121992099,0.243117706099605
FULL,hdl,LR_L1,multiple_missing_components,ablation_delta_auc_mean_raw;ablation_delta_auc_mean;ablation_score,0.0,,0.9750673524737852,0.0,,0.4875336762368925,0.2437668381184462
FULL,ht_przyjecie,LR_L1,multiple_missing_components,ablation_delta_auc_mean_raw;ablation_delta_auc_mean;ablation_score,0.0,,0.97247082439842,0.0,,0.4862354121992099,0.243117706099605
FULL,il_6_pg_ml,LR_L1,multiple_missing_components,ablation_delta_auc_mean_raw;ablation_delta_auc_mean;ablation_score,0.0,,0.9246551055052002,0.0,,0.4623275527526001,0.2311637763763
FULL,ile_lat_pali,LR_L1,multiple_missing_components,ablation_delta_auc_mean_raw;ablation_delta_auc_mean;ablation_score,0.0,,0.97247082439842,0.0,,0.4862354121992099,0.243117706099605
FULL,krwawienie,LR_L1,multiple_missing_components,ablation_delta_auc_mean_raw;ablation_delta_auc_mean;ablation_score,0.0,,0.97247082439842,0.0,,0.4862354121992099,0.243117706099605
FULL,ldl,LR_L1,multiple_missing_components,ablation_delta_auc_mean_raw;ablation_delta_auc_mean;ablation_score,0.0,,0.9261995498349528,0.0,,0.4630997749174763,0.2315498874587381
FULL,leukocytoza_przyjecie_10000,LR_L1,multiple_missing_components,ablation_delta_auc_mean_raw;ablation_delta_auc_mean;ablation_score,0.0,,0.97247082439842,0.0,,0.4862354121992099,0.243117706099605
FULL,mpv_przyjecie,LR_L1,multiple_missing_components,ablation_delta_auc_mean_raw;ablation_delta_auc_mean;ablation_score,0.0,,0.97247082439842,0.0,,0.4862354121992099,0.243117706099605
FULL,nabyta_wada_serca,LR_L1,multiple_missing_components,ablation_delta_auc_mean_raw;ablation_delta_auc_mean;ablation_score,0.0,,0.97247082439842,0.0,,0.4862354121992099,0.243117706099605
FULL,noac,LR_L1,multiple_missing_components,ablation_delta_auc_mean_raw;ablation_delta_auc_mean;ablation_score,0.0,,0.97247082439842,0.0,,0.4862354121992099,0.243117706099605
FULL,non_hdl_calkowity_hdl,LR_L1,multiple_missing_components,ablation_delta_auc_mean_raw;ablation_delta_auc_mean;ablation_score,0.0,,0.9225958463988636,0.0,,0.4612979231994318,0.2306489615997159
FULL,obwod_bioder,LR_L1,multiple_missing_components,ablation_delta_auc_mean_raw;ablation_delta_auc_mean;ablation_score,0.0,,0.97247082439842,0.0,,0.4862354121992099,0.243117706099605
FULL,otylosc_bmi_30,LR_L1,multiple_missing_components,ablation_delta_auc_mean_raw;ablation_delta_auc_mean;ablation_score,0.0,,0.97247082439842,0.0,,0.4862354121992099,0.243117706099605
FULL,p_lcr_przyjecie,LR_L1,multiple_missing_components,ablation_delta_auc_mean_raw;ablation_delta_auc_mean;ablation_score,0.0,,0.97247082439842,0.0,,0.4862354121992099,0.243117706099605
FULL,pct_przyjecie,LR_L1,multiple_missing_components,ablation_delta_auc_mean_raw;ablation_delta_auc_mean;ablation_score,0.0,,0.97247082439842,0.0,,0.4862354121992099,0.243117706099605
FULL,pdw_przyjecie,LR_L1,multiple_missing_components,ablation_delta_auc_mean_raw;ablation_delta_auc_mean;ablation_score,0.0,,0.97247082439842,0.0,,0.4862354121992099,0.243117706099605
FULL,plt_przyjecie,LR_L1,multiple_missing_components,ablation_delta_auc_mean_raw;ablation_delta_auc_mean;ablation_score,0.0,,0.97247082439842,0.0,,0.4862354121992099,0.243117706099605
FULL,rbc_przyjecie,LR_L1,multiple_missing_components,ablation_delta_auc_mean_raw;ablation_delta_auc_mean;ablation_score,0.0,,0.97247082439842,0.0,,0.4862354121992099,0.243117706099605
FULL,tnfalfa_pg_ml,LR_L1,multiple_missing_components,ablation_delta_auc_mean_raw;ablation_delta_auc_mean;ablation_score,0.0038095238095238,,0.965755020671714,0.0197271083347032,,0.8400203674787142,0.4298737379067087
FULL,trijglicerydy_tg,LR_L1,multiple_missing_components,ablation_delta_auc_mean_raw;ablation_delta_auc_mean;ablation_score,0.0,,0.97247082439842,0.0,,0.4862354121992099,0.243117706099605
FULL,waga_kg,LR_L1,multiple_missing_components,ablation_delta_auc_mean_raw;ablation_delta_auc_mean;ablation_score,0.0,,0.2137812378768435,0.0,,0.1068906189384217,0.0534453094692108
FULL,wbc_przyjecie,LR_L1,multiple_missing_components,ablation_delta_auc_mean_raw;ablation_delta_auc_mean;ablation_score,0.0001904761904761,,0.9807571791689718,0.0009863554167346,,0.5618071610130573,0.2813967582148959
FULL,wiek_w_momencie_zbiorki,LR_L1,multiple_missing_components,ablation_delta_auc_mean_raw;ablation_delta_auc_mean;ablation_score,0.0,,0.0,0.0,,0.0,0.0
FULL,wyniki_klotho_pg_ml,LR_L1,multiple_missing_components,ablation_delta_auc_mean_raw;ablation_delta_auc_mean;ablation_score,0.0,,0.9225958463988636,0.0,,0.4612979231994318,0.2306489615997159
FULL,wzrost_cm,LR_L1,multiple_missing_components,ablation_delta_auc_mean_raw;ablation_delta_auc_mean;ablation_score,0.0,,0.97247082439842,0.0,,0.4862354121992099,0.243117706099605
FULL,zaburzenia_homeostazy_glukozy_6,LR_L1,multiple_missing_components,ablation_delta_auc_mean_raw;ablation_delta_auc_mean;ablation_score,0.0,,0.97247082439842,0.0,,0.4862354121992099,0.243117706099605
FULL,zaburzenia_rytmu,LR_L1,multiple_missing_components,ablation_delta_auc_mean_raw;ablation_delta_auc_mean;ablation_score,0.0,,0.6137590377754387,0.0,,0.3068795188877193,0.1534397594438596
FULL,zapalenie_miesnia_serca,LR_L1,multiple_missing_components,ablation_delta_auc_mean_raw;ablation_delta_auc_mean;ablation_score,0.0,,0.97247082439842,0.0,,0.4862354121992099,0.243117706099605
