variant,n_features,n_complete_case,n_unresolved,mean_importance_nonneg,mean_ablation,mean_frs,mean_contradiction_abs,median_contradiction_abs,n_importance_excess,n_hidden_impact,n_reliable_high_impact
BIOMARKERS,10,9,1,0.04461111111111108,0.40380952380952373,0.535319467082402,0.6478578402641777,0.6852231526975668,1.0,4.0,1.0
CLINICAL,43,20,23,0.000282761166482093,0.017714285714285755,0.3893885433679111,0.384491850431448,0.31250000000000133,1.0,4.0,2.0
FULL,54,20,34,0.004300705467372127,0.3066428571428572,0.3257984205510675,0.712559021498895,0.7449494949494948,1.0,14.0,1.0
