variant,winner_model,feature,importance_mean_raw,importance_mean_nonneg,importance_rank,ablation_delta_auc_mean_raw,ablation_delta_auc_oof_raw,ablation_delta_auc_mean,ablation_delta_auc_oof,importance_score,rank_score,ablation_score,joint_topk_score,cross_variant_consistency,stability_score,functional_consistency_score,winner_diag_signal_score,winner_diag_effect_score,winner_model_reliability_score,FRS_raw,FRS,FRS_rank,interpretability_gap,feature_class,complete_case_flag,unresolved_flag,importance_minus_ablation,ablation_minus_importance,importance_to_frs_gap,frs_to_importance_gap,stability_minus_importance,contradiction_abs,contradiction_signed,contradiction_score,importance_excess_flag,hidden_impact_flag,reliable_high_impact_flag,contradiction_class
CLINICAL,RF_SHALLOW,wbc_przyjecie,0.0002222222222222,0.0002222222222222,5.0,-0.0009523809523808,0.055,0.0,0.055,0.0469798657718076,0.875,0.0,0.0,0.9807571791689718,0.927878589584486,0.0,0.4509803921568628,0.1131021745085066,0.2820412833326847,0.3249528184520978,0.4819886678198908,15.0,0.0469798657718076,LOW_SIGNAL,1,0,0.0469798657718076,-0.0469798657718076,-0.43500880204808323,0.43500880204808323,0.8808987238126784,0.0469798657718076,0.0469798657718076,0.0469798657718076,0,0,0,LOW_EVIDENCE
CLINICAL,RF_SHALLOW,arb,0.0,0.0,6.0,-0.0028571428571427,0.0687499999999999,0.0,0.0687499999999999,0.0,0.84375,0.0,0.0,0.97247082439842,0.90811041219921,0.0,0.4509803921568628,0.1131021745085066,0.2820412833326847,0.3027034707330699,0.4161469093285201,18.0,0.0,LOW_SIGNAL,1,0,0.0,0.0,-0.4161469093285201,0.4161469093285201,0.90811041219921,0.0,0.0,0.0,0,0,0,LOW_EVIDENCE
CLINICAL,RF_SHALLOW,bb,0.0,0.0,6.0,-0.0123809523809522,0.0637499999999999,0.0,0.0637499999999999,0.0,0.84375,0.0,0.0,0.97247082439842,0.90811041219921,0.0,0.4509803921568628,0.1131021745085066,0.2820412833326847,0.3027034707330699,0.4161469093285201,18.0,0.0,LOW_SIGNAL,1,0,0.0,0.0,-0.4161469093285201,0.4161469093285201,0.90811041219921,0.0,0.0,0.0,0,0,0,LOW_EVIDENCE
CLINICAL,RF_SHALLOW,ile_lat_miazdzyca_t_szyjnych,0.0,0.0,6.0,-0.018095238095238,0.06625,0.0,0.06625,0.0,0.84375,0.0,0.0,0.97247082439842,0.90811041219921,0.0,0.4509803921568628,0.1131021745085066,0.2820412833326847,0.3027034707330699,0.4161469093285201,18.0,0.0,LOW_SIGNAL,1,0,0.0,0.0,-0.4161469093285201,0.4161469093285201,0.90811041219921,0.0,0.0,0.0,0,0,0,LOW_EVIDENCE
CLINICAL,RF_SHALLOW,stymulator,0.0,0.0,6.0,-0.0438095238095236,0.0574999999999999,0.0,0.0574999999999999,0.0,0.84375,0.0,0.0,0.97247082439842,0.90811041219921,0.0,0.4509803921568628,0.1131021745085066,0.2820412833326847,0.3027034707330699,0.4161469093285201,18.0,0.0,LOW_SIGNAL,1,0,0.0,0.0,-0.4161469093285201,0.4161469093285201,0.90811041219921,0.0,0.0,0.0,0,0,0,LOW_EVIDENCE
CLINICAL,RF_SHALLOW,ile_lat_pali,-0.0094285714285714,0.0,20.0,-0.0019047619047618,0.0424999999999999,0.0,0.0424999999999999,0.0,0.40625,0.0,0.0,0.97247082439842,0.68936041219921,0.0,0.4509803921568628,0.1131021745085066,0.2820412833326847,0.2297868040664033,0.2003670304174356,28.0,0.0,LOW_SIGNAL,1,0,0.0,0.0,-0.2003670304174356,0.2003670304174356,0.68936041219921,0.0,0.0,0.0,0,0,0,LOW_EVIDENCE
CLINICAL,RF_SHALLOW,wrodzona_wada_serca,0.0,0.0,6.0,0.002857142857143,0.0787499999999999,0.002857142857143,0.0787499999999999,0.0,0.84375,0.0535714285714311,0.0,0.97247082439842,0.90811041219921,0.0267857142857155,0.4509803921568628,0.1131021745085066,0.2820412833326847,0.3116320421616418,0.4425689353176339,16.0,-0.0267857142857155,LOW_SIGNAL,1,0,-0.0535714285714311,0.0535714285714311,-0.4425689353176339,0.4425689353176339,0.90811041219921,0.0535714285714311,-0.0535714285714311,0.0535714285714311,0,0,0,LOW_EVIDENCE
CLINICAL,RF_SHALLOW,crp_5_zapalenie,-0.0027936507936508,0.0,11.0,0.0104761904761906,0.0849999999999999,0.0104761904761906,0.0849999999999999,0.0,0.6875,0.196428571428574,0.0,0.97247082439842,0.82998541219921,0.098214285714287,0.4509803921568628,0.1131021745085066,0.2820412833326847,0.309399899304499,0.4359634288203558,17.0,-0.098214285714287,LOW_SIGNAL,1,0,-0.196428571428574,0.196428571428574,-0.4359634288203558,0.4359634288203558,0.82998541219921,0.196428571428574,-0.196428571428574,0.196428571428574,0,0,0,LOW_EVIDENCE
CLINICAL,RF_SHALLOW,crt_d_device,0.0,0.0,6.0,0.0133333333333334,0.0849999999999999,0.0133333333333334,0.0849999999999999,0.0,0.84375,0.250000000000001,0.0,0.97247082439842,0.90811041219921,0.1250000000000005,0.4509803921568628,0.1131021745085066,0.2820412833326847,0.3443701373997368,0.5394496972777119,13.0,-0.1250000000000005,LOW_SIGNAL,1,0,-0.250000000000001,0.250000000000001,-0.5394496972777119,0.5394496972777119,0.90811041219921,0.250000000000001,-0.250000000000001,0.250000000000001,0,0,0,LOW_EVIDENCE
FULL,LR_L1,92_kda_pro_mmp_9,0.1931111111111111,0.1931111111111111,1.0,0.0533333333333334,0.0837499999999999,0.0533333333333334,0.0837499999999999,1.0,1.0,0.0,0.0,,1.0,0.0,1.0,0.8931236178441233,0.9465618089220617,0.6666666666666666,1.0,1.0,1.0,SPURIOUS_IMPORTANCE,1,0,1.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,ATTRIBUTION_EXCESS
FULL,LR_L1,72_kda_pro_mmp_2,0.0308412698412698,0.0308412698412698,2.0,0.1361904761904764,0.1968749999999999,0.1361904761904764,0.1968749999999999,0.1597073812263683,0.8571428571428572,0.21969696969697,0.0,0.6077299799601319,0.7324364185514946,0.109848484848485,1.0,0.8931236178441233,0.9465618089220617,0.3339974282087826,0.5009961423131739,4.0,0.0498588963778833,LOW_SIGNAL,1,0,-0.05998958847060171,0.05998958847060171,-0.3412887610868056,0.3412887610868056,0.5727290373251263,0.05998958847060171,-0.05998958847060171,0.0,0,0,0,LOW_EVIDENCE
FULL,LR_L1,ile_lat_1,0.0,0.0,8.0,0.2723809523809524,0.3087499999999999,0.2723809523809524,0.3087499999999999,0.0,0.0,0.5808080808080806,0.0,0.97247082439842,0.4862354121992099,0.2904040404040403,1.0,0.8931236178441233,0.9465618089220617,0.2588798175344167,0.3883197263016251,20.0,-0.2904040404040403,LOW_SIGNAL,1,0,-0.5808080808080806,0.5808080808080806,-0.3883197263016251,0.3883197263016251,0.4862354121992099,0.5808080808080806,-0.5808080808080806,0.5540560891129985,0,0,0,LOW_EVIDENCE
FULL,LR_L1,cukrzyca_dm,0.0,0.0,8.0,0.2957142857142858,0.2781249999999999,0.2957142857142858,0.2781249999999999,0.0,0.0,0.6426767676767677,0.0,0.97247082439842,0.4862354121992099,0.3213383838383838,1.0,0.8931236178441233,0.9465618089220617,0.2691912653458646,0.4037868980187969,19.0,-0.3213383838383838,LOW_SIGNAL,1,0,-0.6426767676767677,0.6426767676767677,-0.4037868980187969,0.4037868980187969,0.4862354121992099,0.6426767676767677,-0.6426767676767677,0.6198731121053576,0,0,0,LOW_EVIDENCE
FULL,LR_L1,emmprin,0.0035238095238095,0.0035238095238095,4.0,0.3028571428571429,0.34375,0.3028571428571429,0.34375,0.0182475752096004,0.5714285714285714,0.6616161616161615,0.0,0.9583746868060984,0.7649016291173348,0.3308080808080808,1.0,0.8931236178441233,0.9465618089220617,0.3713190950450053,0.5569786425675081,3.0,-0.3125605055984803,LOW_SIGNAL,1,0,-0.6433685864065611,0.6433685864065611,-0.5387310673579077,0.5387310673579077,0.7466540539077344,0.6433685864065611,-0.6433685864065611,0.620609081325813,0,0,0,LOW_EVIDENCE
FULL,LR_L1,wrodzona_wada_serca,0.0,0.0,8.0,0.2990476190476191,0.334375,0.2990476190476191,0.334375,0.0,0.0,0.6515151515151514,0.0,0.97247082439842,0.4862354121992099,0.3257575757575757,1.0,0.8931236178441233,0.9465618089220617,0.2706643293189285,0.4059964939783928,18.0,-0.3257575757575757,LOW_SIGNAL,1,0,-0.6515151515151514,0.6515151515151514,-0.4059964939783928,0.4059964939783928,0.4862354121992099,0.6515151515151514,-0.6515151515151514,0.6292755439614086,0,0,0,LOW_EVIDENCE
FULL,LR_L1,nadcisnienie_tetnicze_nt,0.0,0.0,8.0,0.3114285714285715,0.345,0.3114285714285715,0.345,0.0,0.0,0.6843434343434343,0.0,0.6896168963769093,0.3448084481884546,0.3421717171717171,1.0,0.8931236178441233,0.9465618089220617,0.2289933884533905,0.3434900826800858,21.0,-0.3421717171717171,HIDDEN_SIGNAL,1,0,-0.6843434343434343,0.6843434343434343,-0.3434900826800858,0.3434900826800858,0.3448084481884546,0.6843434343434343,-0.6843434343434343,0.6641988622838847,0,1,0,LATENT_DEPENDENCE
FULL,LR_L1,stymulator,0.0,0.0,8.0,0.3128571428571429,0.3212499999999999,0.3128571428571429,0.3212499999999999,0.0,0.0,0.6881313131313131,0.0,0.97247082439842,0.4862354121992099,0.3440656565656566,1.0,0.8931236178441233,0.9465618089220617,0.2767670229216222,0.4151505343824333,17.0,-0.3440656565656566,HIDDEN_SIGNAL,1,0,-0.6881313131313131,0.6881313131313131,-0.4151505343824333,0.4151505343824333,0.4862354121992099,0.6881313131313131,-0.6881313131313131,0.6682284759364782,0,1,0,LATENT_DEPENDENCE
FULL,LR_L1,klop,0.0,0.0,8.0,0.3142857142857145,0.3162499999999999,0.3142857142857145,0.3162499999999999,0.0,0.0,0.6919191919191923,0.0,0.97247082439842,0.4862354121992099,0.3459595959595961,1.0,0.8931236178441233,0.9465618089220617,0.2773983360529353,0.416097504079403,16.0,-0.3459595959595961,HIDDEN_SIGNAL,1,0,-0.6919191919191923,0.6919191919191923,-0.416097504079403,0.416097504079403,0.4862354121992099,0.6919191919191923,-0.6919191919191923,0.6722580895890718,0,1,0,LATENT_DEPENDENCE
FULL,LR_L1,bmi,0.0002857142857142,0.0002857142857142,6.0,0.3300000000000002,0.323125,0.3300000000000002,0.323125,0.0014795331251023,0.2857142857142857,0.7335858585858588,0.0,0.9702190449277645,0.627966665321025,0.3667929292929294,1.0,0.8931236178441233,0.9465618089220617,0.3320797092463522,0.4981195638695283,5.0,-0.3653133961678271,HIDDEN_SIGNAL,1,0,-0.7321063254607565,0.7321063254607565,-0.49664003074442603,0.49664003074442603,0.6264871321959227,0.7321063254607565,-0.7321063254607565,0.7150098857911796,0,1,0,LATENT_DEPENDENCE
