variant,mean_contradiction_abs,mean_contradiction_signed,mean_importance_score,mean_ablation_score,mean_FRS,n_complete_case,n_unresolved,n_features,corr_importance_vs_ablation_spearman,corr_importance_vs_FRS_spearman,corr_ablation_vs_FRS_spearman,topk_overlap_importance_ablation,mean_absolute_gap,median_absolute_gap
BIOMARKERS,0.6478578402641777,-0.4256356180419555,0.1561562395821757,0.5991425509110395,0.535319467082402,9,1,10,-0.9288784237188524,0.8160123484559988,-0.5333333333333333,1,0.6478578402641777,0.6852231526975667
CLINICAL,0.384491850431448,-0.2797938638542673,0.05977836741064421,0.33214285714285763,0.3893885433679111,20,23,43,-0.383384925834044,0.4531695597909996,0.6199895495328115,0,0.384491850431448,0.3125000000000013
FULL,0.712559021498895,-0.612559021498895,0.022270626701006414,0.6716540404040405,0.3257984205510675,20,34,54,-0.3735258104876803,0.5304526864132117,0.2586466165413533,1,0.712559021498895,0.7449494949494948
